text,label
"Здравствуйте, интересует квартира в новостройке",1
"Есть варианты в центре Сочи?",1
"Рассматриваю покупку 2-комнатной",1
"Сколько стоит квартира на Красной?",1
"Есть рассрочка на жильё?",1
"Планирую купить студию в ближайшее время",1
"Интересует новостройка рядом с метро",1
"Ищу квартиру до 10 млн",1
"Подскажите ипотечные условия",1
"Сколько квадратов в этой квартире?",1
"Можно ли посмотреть вживую?",1
"Хочу записаться на просмотр",1
"Рассматриваю покупку дома",1
"Сколько соток у участка?",1
"Планирую купить апартаменты",1
"Какие документы на жильё?",1
"Возможно купить в ипотеку?",1
"Хочу инвестировать в новостройку",1
"Рассматриваю новостройки от застройщика",1
"Какие ЖК ещё есть в этом районе?",1
"Добрый день, хочу купить квартиру",1
"Подбираю жильё для семьи",1
"Есть ли паркинг при покупке?",1
"Планирую покупку через маткапитал",1
"Сколько стоит 1-комнатная?",1
"Можно рассчитать ипотеку?",1
"Какая минимальная цена за м²?",1
"Ищу квартиру с отделкой",1
"Есть квартиры с балконом?",1
"Какой срок сдачи дома?",1
"Какие налоги при покупке?",1
"Хочу приобрести недвижимость в ипотеку",1
"Интересует квартира в ипотеку без первоначального",1
"Какие объекты вы можете предложить?",1
"Сколько стоит квадратный метр?",1
"Есть ли квартиры с отделкой под ключ?",1
"Рассматриваю покупку квартиры в ЖК",1
"Мне нужно жильё до 12 млн",1
"Где находится объект?",1
"Какие условия бронирования квартиры?",1
"Хочу купить жильё без посредников",1
"Рассчитываю на помощь с ипотекой",1
"У вас есть жильё в Краснодаре?",1
"Ищу однушку в спальном районе",1
"Хочу вложиться в недвижимость",1
"Какие дома уже сданы?",1
"Можно ли купить с использованием сертификата?",1
"Интересует вторичка",1
"Какая этажность у дома?",1
"Хочу купить квартиру для сына",1
"Здравствуйте",0
"Какие у вас объекты?",0
"Скиньте прайс",0
"🤝",0
"Очень красиво!",0
"Где вы находитесь?",0
"Аренда интересует",0
"Можно в ипотеку взять?",1
"Я риелтор",0
"Можно подробнее об условиях сотрудничества?",0
"Я представляю агентство",0
"Как стать вашим партнёром?",0
"Хотим с вами сотрудничать",0
"У вас есть база объектов?",0
"Покупать не планирую, просто интересно",0
"Можно взять в аренду на лето?",0
"Это ЖК с хорошим видом?",0
"Сколько стоит аренда?",0
"Вы работаете по агентскому договору?",0
"Добавьте в чат",0
"Я из ТГ-канала, просто смотрю",0
"Какой процент агенту?",0
"Сколько длится сделка?",0
"Хочу просто подписаться на вас",0
"Где можно оставить отзыв?",0
"Вы принимаете в Telegram документы?",0
"Я инвестор, интересует земля",0
"Спасибо, передам знакомым",0
"Какая стоимость услуг?",0
"Можете выслать презентацию?",0
"Как в чат попасть?",0
"Можно цену без комиссии?",0
"Просто лайк",0
"Вы на маркетплейсах есть?",0
"Это где снято?",0
"Прекрасная кухня!",0
"Это какая серия дома?",0
"Ремонт сами делали?",0
"Фото очень красивые",0
"Вау, классно",0
"Я пока просто интересуюсь",0
"Есть чат для покупателей?",0
"Выставьте на Авито",0
"Я покупкой не интересуюсь",0
"Это ваша квартира?",0
"Где смотреть видео?",0
"Это рендер или фото?",0
"Можете выслать планировку?",0
"Скиньте PDF",0
"Куплю 2-х комнатную квартиру в Краснодаре", 1
"Да знаю я", 0 
"Хочу переехать в новороссийск и купить квартиру",1
"*ЖК Жилой квартал*🏯 *студия* ➡️💵*2900*💶сейф🔐➡️Артинвест 214 фз,мон/кирп️По ЕГРН-16,7 м²+2,9 м² балкон. В ДКП-2300➡️7/10 эт.Лифт,новый ремонт, балкон,кух. гарнитур, кондёр🩷✅Ул.Шевцова 8 #Любимово➡️Авито нет❌ любой заклад 89186884826 Максим", 0
"Я ваш спор с дамой весь от начала до конца прочитал. Вы думаете я на ровном месте захотел прицепиться. Я как бы и не цеплялся, а всего лишь спросил помните ли вы начало разговора, уже из этого можно было понять что я его весь прочитал. Вы мне ответили да и спросили в чем мой интерес- Я ответил что у меня возникли сомнения в том что вы помните и ваш ответ их не развеял к сожалению. Далее у вас последовал вообще не понятный комментарий - Виталий, вы странный.🤷‍♂ Задали вопрос - вспомните? Я ответил - да, что однозначно подразумевает - вспомню или помню. 👌Внимательно его прочитайте лично я с трудом понял что вы хотите до меня до нести. Я опять задал вопрос, к чему этот дурацкий вопрос про адвоката. Ответа не получил. Сделали вывод для себя, что вы просто троллите. Ну дальше вы знаете, видите как всё просто. А вы мне про камень за пазухой🤷‍♂",0
"Завтра состоится важное мероприятие, нужно быстро оформить зал и переместить аппаратуру заплачу 5 тыс",0
" Кто живет в районе улицы Дзержинского и где котокафе Мыс Добра?",0 
"📦 Подработка/основная занятость — свободный график, доход до 15к в день.", 0
"Куплю квартиру 😁",1
"Ищу квартиру в Сочи с видом на море",1
"Хочу купить дом в Анапе для постоянного проживания",1
"Планирую покупку квартиры в Геленджике",1
"Ищу новостройку в Севастополе рядом с морем",1
"Рассматриваю новостройку в Краснодаре",1
"Нужна квартира в Новороссийске, 2 комнаты",1
"Хочу жильё в Симферополе, желательно центр",1
"Куплю квартиру в Ялте до 15 млн",1
"Ищу дом в Туапсе с участком",1
"Планирую купить квартиру в Адлере",1
"Рассматриваю покупку новостройки в Сочи",1
"Нужна однокомнатная квартира в Анапе",1
"Хочу приобрести дом в Севастополе",1
"Ищу студию в новостройке в Геленджике",1
"Куплю новостройку в Краснодаре",1
"Хочу квартиру в Сочи с ремонтом",1
"Планирую покупку дома в Анапе",1
"Нужна квартира в Ялте с балконом",1
"Хочу купить жильё в Симферополе",1
"Рассматриваю квартиру в новостройке в Новороссийске",1
"Ищу дом в Туапсе для дачи",1
"Куплю квартиру в Сочи для сдачи",1
"Хочу новостройку в Адлере",1
"Ищу жильё в Анапе у моря",1
"Планирую взять дом в Севастополе",1
"Нужна квартира в Геленджике с видом",1
"Рассматриваю новостройку в Ялте",1
"Куплю двухкомнатную квартиру в Краснодаре",1
"Хочу дом в Новороссийске",1
"Ищу квартиру в Симферополе, не выше 3 этажа",1
"Планирую купить студию в Адлере",1
"Нужен дом в Анапе с садом",1
